Institution,Rue,Lieu,ZIP,Email,Tel
Bildungszentrum Gesundheit und Soziales Bibliothek,Gürtelstrasse 42/44,Chur,7000,bibliothek@bgs-chur.ch,(081) 286-85-04
Bündner Naturmuseum / Bibliothek,Masanserstrasse 31,Chur,7000,info@bnm.gr.ch,081-257-28-41
Claudio Mainetti Bibliothek,Gemeindehaus,Tartar,7422,herbert.patt@bluewin.ch,081-651-43-35
Fachhochschule Graubünden / Bibliothek,Pulvermühlestrasse 57,Chur,7004,bibliothek@htwchur.ch,081-286-24-33
Gemeindebibliothek Domat/Ems,Tircal 14,Domat/Ems,7013,bibliotecadadomat@bluewin.ch,081-633-42-68
Institut dal Dicziunari Rumantsch Grischun,Ringstrasse 34,Chur,7000,info@drg.ch,(081) 254-70-10
Kantonsbibliothek Graubünden,Karlihofplatz,Chur,7001,info@kbg.gr.ch,081 257 28 28
Kirchliche Mediathek Graubünden,Welschdörfli 2,Chur,7000,marijan.marijanovic@gr.kath.ch,081 254 36 03
Kirchner Museum Davos / Bibliothek,Ernst Ludwig Kirchner Platz,Davos,7270,bibliothek@kirchnermuseum.ch,081/410.63.00
Kulturarchiv Bonaduz,Via Nurtal 10,Bonaduz,7402,kulturarchiv@bonaduz.ch,081/6302265
Kulturarchiv Oberengadin,Chesa Planta,Samedan,7503,info@kulturarchiv.ch,(081) 852-35-31
Leihbibliothek Davos,Promenade 88,Davos Platz,7270,leihbibliothek@davos.gr.ch,(081) 414-33-51
Mediateca comunale Roveredo,Piazzetta,Roveredo GR,6535,mediateca.roveredo@bluewin.ch,091-827-26-75
Mediathek Schweizerische Alpine Mittelschule Davos,Guggerbachstrasse 2,Davos Platz,7270,mediathek@samd.ch,081 410 03 11
Mediothek Bündner Kantonsschule,Münzeweg 15,Chur,7000,mediothek@bks.gr.ch,081/2575133
Mediothek Gewerbliche Berufsschule Chur,Scalettastrasse 33,Chur,7000,mediothek@gbchur.ch,081/254.45.27
Mediothek Pädagogische Hochschule Graubünden,Scalärastrasse 17,Chur,7000,mediothek@phgr.ch,081 3540332
Schul- und Gemeindebibliothek,Stutz 2,Maienfeld,7304,bibliothek.maienfeld@spin.ch,081/3307280
"Schweizerischer Nationalpark, Bibliothek",Schloss Planta-Wildenberg,Zernez,7530,info@nationalpark.ch,081/851.41.11
Staatsarchiv Graubünden,Karlihofplatz,Chur,7001,info@sag.gr.ch,081 257 28 03
Stadtarchiv Chur,"Rathaus, Poststrasse 33",Chur,7001,stadtarchiv@chur.ch,081-254-41-32
Stadtbibliothek Chur,Grabenstrasse 28,Chur,7000,info@bibliochur.ch,081/2545010
Theologische Hochschule Chur / Bibliothek,Alte Schanfiggerstrasse 7,Chur,7000,bibliothek@priesterseminar-thc.ch,081 2549944
Archives cantonales jurassiennes (ArCJ),Rue Pierre-Péquignat 9,Porrentruy,2900,antoine.glaenzer@jura.ch,(032) 420-84-00
Bibliobus de l'Université populaire jurassienne,Rue de Chêtre 36,Delémont,2800,bibliobus@bibliobus.ch,032 421 40 10
Bibliothèque cantonale jurassienne,Hôtel des Halles,Porrentruy,2900,bibliotheque.cantonale@jura.ch,032/4208400
Bibliothèque municipale / Bibliothèque des adultes,Rue de l'hôpital 47,Delémont,2800,bibliotheque.municipale@delemont.ch,032 4219770
Bibliothèque municipale / Bibliothèque des jeunes,Rue de Fer 13,Delémont,2800,bibliotheque.municipale@delemont.ch,032/421.97.80
HEP-BEJUNE Médiathèque de Delémont,Route de Moutier 14,Delémont,2800,mediatheque.sde@hep-bejune.ch,032/886.99.43
Lycée cantonal / Médiathèque,Pl. Blarer-de-Wartensee 2,Porrentruy,2900,isabelle.probst-stucki@jura.ch,032 420 36 87
Société jurassienne d'émulation,"8, rue du Gravier",Porrentruy,2900,info@sje.ch,032/466.92.57
Archiv der Herren Good,p.a. Staatsarchiv des Kantons Luzern / Schützenstrasse 9,Luzern,6000,staatsarchiv@lu.ch,041 2285365
Archiv des Chorherrenstiftes St. Michael Beromünster,Stift 1,Beromünster,6215,bibliothek@stiftberomuenster.ch,041 9303277
Bibliothek Adligenswil,Zentrum Teufmatt,Adligenswil,6043,bibliothek@adligenswil.ch,041 3757781
Bibliothek Beromünster,Schuelgass 1,Beromünster,6215,bibliothek@schule-beromuenster.ch,079 791 69 17
Bibliothek des Chorherrenstiftes St. Michael Beromünster,Stift 1,Beromünster,6215,bibliothek@stiftberomuenster.ch,041 9303277
Bibliothek Kantonsschule Willisau,Schlossfeldstrasse 4,Willisau,6130,bibliothek.ksw@edulu.ch,041 9727939
Gemeindearchiv Emmen,Rüeggisingerstrasse 22,Emmenbrücke,6020,christoph.odermatt@emmen.ch,041 268 01 11
Haus zum Dolder / Sammlung Dr. Edmund Müller,Fläcke 17,Beromünster,6215,info@hauszumdolder.ch,(041) 930-16-26
"Mediothek, Hochschule Luzern - Soziale Arbeit (HSLU SA)",Werftestrasse 1,Luzern,6002,mediothek.sozialearbeit@hslu.ch,041-367-48-36
"Natur-Museum Luzern, Bibliothek",Kasernenplatz 6,Luzern,6003,bibliothek.nml@lu.ch,041-228-54-11
Oeko-Forum / Umweltberatung Luzern und Umweltbibliothek,Löwenplatz 11,Luzern,6004,info@oeko-forum.ch,(041) 412-32-32
Pädagogisches Medienzentrum,Sentimatt 1,Luzern,6003,pmz@phlu.ch,041/228.68.01
Regionalbibliothek,Moosmättili 3,Schüpfheim,6170,bibliothek@schuepfheim.ch,041/484.10.60
Schulbibliothek Grenzhof,Bernstrasse 115,Luzern,6003,biblio-gz@bluewin.ch,041/2592033
Schul- und Gemeindebibliothek Menznau,Schulhaus Dorf,Menznau,6122,bibliothek@menznau.schulen-luzern.ch,041/4931386
Schweizer Paraplegiker-Zentrum Bibliothek,Guido A. Zäch Strasse 4,Nottwil,6207,bibliothek@paraplegie.ch,041/939.57.78
Schweizerische Vogelwarte Bibliothek,Seerose 1,Sempach,6204,bibliothek@vogelwarte.ch,041-462-97-52
Staatsarchiv des Kantons Luzern,Schützenstrasse 9,Luzern 7,6000,staatsarchiv@lu.ch,041 2285365
Stadtarchiv Luzern,Ruopigenstrasse 38,Luzern,6015,stadtarchiv@stadtluzern.ch,041 2087380
Stadtarchiv Sursee,"Stadtverwaltung Sursee, Stadtarchiv, Centralstr. 9",Sursee,6210,stadtarchiv@stadtsursee.ch,041/9269031
Stadtbibliothek Luzern,Löwenplatz 10,Luzern,6004,info@bvl.ch,(041) 417-07-07
Suva Archiv & Records Management,Fluhmattstrasse 1,Luzern,6002,archiv@suva.ch,041 4196245
Suva / Bibliothek Rösslimatt,Rösslimattstrasse 39,Luzern,6002,bibliothek@suva.ch,041 419 50 85
Zentral- & Hochschulbibliothek Luzern (ZHB),Sempacherstrasse 10,Luzern,6003,info@zhbluzern.ch,041 349 75 00
Agence Interpress,Place D'Armes 2,La Chaux-de-Fonds,2300,Rat.olivier@gmail.com,032/9680000
Archives de l'Etat de Neuchâtel,le château,Neuchâtel,2000,oaen@ne.ch,032 889 60 40
Archives de la Commune d'Enges / Administration communale,Route Principale 23,Enges,2073,Commune.Enges@ne.ch,(032) 886-47-90
Archives de la Commune de Cornaux / Administration communale,Clos-Saint-Pierre 1,Cornaux,2087,commune.cornaux@ne.ch,032/886.45.10
Archives de la Commune de La Côte-aux-Fées,"Les Bolles-du-Temple, 12",La Côte-aux-Fées,2117,cote-aux-fees@ne.ch,032/8651131
Archives de la Commune de La Grande Béroche / Administration communale,Rue de la Gare 4,Saint-Aubin-Sauges,2024,lagrandeberoche.chancellerie@ne.ch,032-886-52-00
Archives de la Commune de La Tène / Administration communale,Auguste-Bachelin 4,Marin-Epagnier,2074,commune.la-tene@ne.ch,032/886.65.00
Archives de la Commune de Milvignes / Administration communale,Rue Haute 20,Colombier,2013,milvignes.chancellerie@ne.ch,032/8865830
Archives de la Commune de Rochefort / Administration communale,Place du Collège 4,Rochefort,2019,commune.rochefort@ne.ch,(032) 855-11-19
Archives de la Commune de Saint-Blaise / Administration communale,Grand'Rue 35,Saint-Blaise,2072,commune.saint-blaise@ne.ch,032 886 49 50
Archives de la Commune de Val-de-Ruz,Rue Épervier 6,Cernier,2053,chancellerie.val-de-ruz@ne.ch,(032) 886-56-00
Archives de la Commune de Val-de-Travers,Rue des Moulins 4,Couvet,2108,archives.vdt@ne.ch,032-886-43-17
Archives de la Commune des Verrières,"Grand-Bourgeau, 61",Les Verrières,2126,commune.verrieres@ne.ch,032 8661215
Archives de la Ville de Neuchâtel,Avenue DuPeyrou 7,Neuchâtel,2000,olivier.girardbille@ne.ch,032-717-79-57
Bibliothèque de droit Université de Neuchâtel,"26, avenue du 1er-Mars",Neuchâtel,2000,biblio.droit@unine.ch,(032) 718-12-40
"Bibliothèque de géologie et d'hydrogéologie, 1836-",Rue Emile-Argand 11,Neuchâtel,2000,biblio.sciences@unine.ch,032 7182090
Bibliothèque de l'Ecole d'arts appliqués,Rue de la Paix 60,La Chaux-de-Fonds,2300,ccj@rpn.ch,032 8863518
Bibliothèque de la Faculté des lettres / Centre de dialectologie,Av. Du Peyrou 6,Neuchâtel,2000,centre.dialectologie@unine.ch,032-718-17-20
Bibliothèque de la Faculté des lettres et sciences humaines,Espace Louis-Agassiz 1,Neuchâtel,2000,biblio.lettres@unine.ch,032 718 17 59
Bibliothèque de la Haute École Arc Conservation-restauration,"Campus Arc 2, Espace de l'Europe 11",Neuchâtel,2000,cor.bibliotheque@he-arc.ch,032 930 12 51
Bibliothèque de la Haute École Arc Ingénierie,"Espace de l'Europe, 11",Neuchâtel,2000,biblio-ing@he-arc.ch,032/9301330
Bibliothèque de la Haute École Arc Santé,"Espace de l'Europe 11, Campus Arc 2",Neuchâtel,2000,biblio-san@he-arc.ch,032-930-12-51
Bibliothèque de la Ville de La Chaux-de-Fonds,"33, rue du Progrès",La Chaux-de-Fonds,2300,service.bibliothequedelaville@ne.ch,032/9676821
Bibliothèque de Pierre-à-Mazel 7 (PAM7),Rue Pierre-à-Mazel 7,Neuchâtel,2000,biblio.pam7@unine.ch,032 7181335
Bibliothèque des jeunes,"9, Rue de la Ronde",La Chaux-de-Fonds,2300,Service.Bibliothequedesjeunes@ne.ch,032 967 68 52
Bibliothèque des Sciences / Chimie,Rue Emile-Argand 11,Neuchâtel,2000,biblio.sciences@unine.ch,032/718.20.90
Bibliothèque des Sciences / Physique,Rue Emile-Argand 11,Neuchâtel,2000,biblio.sciences@unine.ch,032 718 20 90
Bibliothèque des sciences économiques,A.-L. Breguet 2,Neuchâtel,2000,biblio.se@unine.ch,032/7181340
Bibliothèque du Centre scolaire du Val-de-Ruz,Chasseral 3,Cernier,2053,Sylviane.Bassin@rpn.ch,032-886-57-09
Bibliothèque du centre scolaire secondaire «Les Cerisiers»,Rue Lancelot 1,Gorgier,2023,biblio.csc@rpn.ch,032 8864577
Bibliothèque du Conservatoire de musique neuchâtelois / Haute école de musique,Espace de l'Europe 21,Neuchâtel,2000,biblio-ne.hem@hesge.ch,032/9302127
Bibliothèque publique et universitaire de Neuchâtel,"3, place Numa-Droz",Neuchâtel,2000,Secretariat.Bpu@unine.ch,032 717 73 00
Bibliothèques du Val-de-Travers,Rue du Pasquier 11,Fleurier,2114,biblio.fleurier@bluewin.ch,(032) 861-30-78
Centre Dürrenmatt Neuchâtel,"74, chemin du Pertuis-du-Sault",Neuchâtel,2000,cdn@nb.admin.ch,032 720 20 60
"Centre international d'étude du sport, Centre de documentation",Avenue DuPeyrou 1,Neuchâtel,2000,documentation.cies@unine.ch,(032) 718-39-00
CENTREDOC,Jaquet-Droz 1,Neuchâtel,2002,info@centredoc.ch,032/720.51.31
"CIFOM - Ecole Technique, Médiathèque, Le Locle",Klaus 1,Le Locle,2400,etmediatheque@rpn.ch,032/8863116
Forum suisse pour l'étude des migrations et de la population Centre de documentation,Rue A.-L. Breguet 2,Neuchâtel,2000,doc.sfm@unine.ch,032/718.39.39
Glossaire des patois de la Suisse romande Bibliothèque,"4, avenue DuPeyrou",Neuchâtel,2000,gpsr@unine.ch,032 7183680
HEP-BEJUNE Médiathèque de La Chaux-de-Fonds,Rue du 1er août 44a,La Chaux-de-Fonds,2300,mediatheque.scf@hep-bejune.ch,032/886.99.44
Hôpital neuchâtelois Centre de documentation,Maladière 45,Neuchâtel,2000,hne.bibliotheque@h-ne.ch,079/559.40.36
Institut de Mathématiques / Institut d'Informatique Bibliothèque,Rue Emile-Argand 11,Neuchâtel,2000,christine.matile@unine.ch,032/7182800
Institut de recherche et de documentation pédagogique ( IRDP) / Secteur Documentation,Faubourg de l'Hôpital 43-45,Neuchâtel,2002,documentation@irdp.ch,032 889 86 18
"Médiathèque Centre Pierre-Coullery, La Chaux-de-Fonds",Prévoyance 82,La Chaux-de-Fonds,2300,epcmediatheque@rpn.ch,032-886-33-66
"Médiothèque du Lycée Blaise-Cendrars, La Chaux-de-Fonds",Rue du Succès 41-45,La Chaux-de-Fonds,2300,katimurbach@gmail.com,(032) 886-38-50
Musée d'art et d'histoire (MAHN) Bibliothèque,Quai Léopold-Robert 1,Neuchâtel,2000,bibliotheque.mahn@ne.ch,032 7177924
Musée d'Histoire,Rue des Musées 31,La Chaux-de-Fonds,2300,museehistoire.vch@ne.ch,032-967-60-88
Musée d'histoire naturelle,"63, avenue Léopold-Robert",La Chaux-de-Fonds,2300,mhnc@ne.ch,032 9676071
Musée d'horlogerie du Locle,"Château des Monts, Route des Monts 65",Le Locle,2400,mhl@ne.ch,032/933.89.80
Musée international d'horlogerie - bibliothèque et archives,Rue des Musées 29,La Chaux-de-Fonds,2300,mih@ne.ch,032 967 68 61
Observatoire cantonal / Bibliothèque,"58, rue de l'Observatoire",Neuchâtel,2000,Observatoire.Cantonal@ne.ch,032-889-68-70
Office fédéral de la statistique Bibliothèque,Espace de l'Europe 10,Neuchâtel,2010,library@bfs.admin.ch,058-463-60-54
Service de la Consommation et des Affaires Vétérinaires / Bibliothèque,Jehanne-de-Hochberg 5,Neuchâtel,2001,scav@ne.ch,032/889.68.30
Service intercommunal d'archivage (SIAr) / c/o Commune de Corcelles-Cormondrèche,Rue de la Croix 7,Corcelles,2035,siar@docuteam.ch,021/510.21.81
Université de Neuchâtel / Bibliothèque de biologie,Rue Emile-Argand 11,Neuchâtel,2000,biblio.sciences@unine.ch,032 718 20 90
Kantonsbibliothek Nidwalden,Engelbergstrasse 34,Stans,6371,kantonsbibliothek@nw.ch,041-618-73-00
Schulbibliothek GROBI Hergiswil,Grossmatt 5,Hergiswil,6052,yolanda.niederberger@schule-hergiswil.ch,041-632-66-40
Schulmediothek Emmetten,Schulhaus 3,Emmetten,6376,mediothek@schule-emmetten.ch,041-624-99-35
Staatsarchiv des Kantons Nidwalden,Stansstaderstrasse 54,Stans,6371,staatsarchiv@nw.ch,041/6185151
"Berufs- und Weiterbildungsberatung Obwalden, Dokumentation",Brünigstrasse 178,Sarnen,6061,berufsberatung@ow.ch,041 666 63 44
Kantonsbibliothek Obwalden,"Grundacherhaus, Gesellenweg 4",Sarnen,6060,kantonsbibliothek@ow.ch,041 666 61 21
Normenverzeichnis des Schweizerischen Verbands für Kältetechnik,Eichistrasse 1,Alpnach Dorf,6055,info@svk.ch,(041) 670-30-45
Staatsarchiv des Kantons Obwalden,St. Antonistrasse 4,Sarnen,6061,staatsarchiv@ow.ch,041 666 62 14
Archiv Dompfarrei,Gallusstrasse 34,St.Gallen,9001,pfarramt.dom@kathsg.ch,071/2240550
"Archiv für Frauen-, Geschlechter- und Sozialgeschichte Ostschweiz",Florastrasse 6,St. Gallen,9000,archiv@frauenarchivostschweiz.ch,(071) 222-99-64
Benediktinerinnenabtei St. Gallenberg,"St. Gallenberg, Glattburg",Oberbüren,9245,abteistgallenberg@bluemail.ch,(071) 951-53-78
"Berufs-, Studien- und Laufbahnberatung St. Gallen und Berufsinformationszentrum BIZ",Teufenerstrasse 1/3,St.Gallen,9001,info.blbstgallen@sg.ch,(058) 229-72-11
Bibliothek Buchs SG,Kirchgasse 2,Buchs SG,9470,info@bibliothek-buchs-sg.ch,081 756 61 25
Bibliothek HSR Hochschule für Technik Rapperswil,Oberseestrasse 10,Rapperswil,8640,bibliothek@hsr.ch,055-222-45-31
Bibliothek Reburg,Rathausplatz 1,Altstätten,9450,info@bibliothek-reburg.ch,071 7554113
Bibliothek Uzwil,Bahnhofstrasse 83a,Uzwil,9240,bibliothek@uzwil.ch,071/9504170
Bibliothek Wattwil,Grüenaustrasse 15,Wattwil,9630,biblio.wattwil@bluewin.ch,(071) 988-54-67
Bundesverwaltungsgericht / Bibliothek,Kreuzackerstrasse 12,St. Gallen,9023,bibliothek@bvger.admin.ch,058 7052929
"FHS St.Gallen, Hochschule für Angewandte Wissenschaften, Bibliothek",Rosenbergstrasse 59,St.Gallen,9001,bibliothek@fhsg.ch,071/226.14.50
Frauenbibliothek und Fonothek Wyborada,Davidstr. 42,St. Gallen,9000,info@wyborada.ch,071-222-65-15
Freihandbibliothek Steinach,Schulstrasse 36,Steinach,9323,bibliothek@schulesteinach.ch,071/4478416
Gemeinde- und Schulbibliothek Ebnat-Kappel,Hüslibergstrasse 2,Ebnat-Kappel,9642,paula.looser@thurweb.ch,(071) 990-01-20
Institut für Wirtschaftspädagogik IWP-HSG / Bibliothek,Dufourstrasse 40a,St. Gallen,9000,iwphsg@unisg.ch,(071) 224-26-30
Kantonsbibliothek St. Gallen / Hauptstelle Vadiana,Notkerstrasse 22,St. Gallen,9000,kb.vadiana@sg.ch,058-229-23-40
"Katholische Kirche im Thurgau, Mediothek",Franziskus-Weg 3,Weinfelden,8570,mediothek@kath-tg.ch,071 6261144
Kloster Magdenau (OCist) / Archiv,Magdenau 911,Wolfertswil,9116,magdenau@bluewin.ch,071-393-23-55
Kunst Halle St. Gallen / Bibliothek und Künstlerdokumentation,Davidstrasse 40,St. Gallen,9000,info@k9000.ch,(071) 222-10-14
Mediothek Kantonsschule Wattwil,Näppisuelistrasse 11,Wattwil,9630,mediothek-ksw@sg.ch,058/2288676
NTB Interstaatliche Hochschule für Technik Buchs / Bibliothek / Dokumentation,Werdenbergstrasse 4,Buchs SG,9471,bibliothek@ntb.ch,081 7553351
Pädagogische Hochschule St.Gallen - medienverbund.phsg,Notkerstrasse 27,St. Gallen,9000,mediathek@phsg.ch,071-858-71-90
Pfarreiarchiv Maria Himmelfahrt Jona,Sekretariat der Katholischen Kirche in Rapperswil-Jona / Friedhofstrasse 3,Jona,8645,info@krj.ch,055/2257830
Pfarreiarchiv St. Franziskus Kempraten,Sekretariat der Katholischen Kirche in Rapperswil-Jona / Friedhofstrasse 3,Jona,8645,kempraten@krj.ch,055 2257820
Pfarreiarchiv St. Johann Rapperswil,"Katholische Kirche in Rapperswil-Jona, / Sekretariat, / Friedhofstrasse 3",Jona,8645,sekretariat@krj.ch,055-225-78-00
Pfarreiarchiv St. Martin Busskirch,Sekretariat der Katholischen Kirche in Rapperswil-Jona / Friedhofstrasse 3,Jona,8645,info@krj.ch,055/225.78.30
Schweizer Berufsverband der Pflegefachpersonen,Kolumbanstrasse 2,St. Gallen,9008,info@sbk-sg.ch,071 223 43 66
Schweizerischer Zentralverein für das Blindenwesen SZB / Fachbibliothek,Schützengasse 4,St. Gallen,9000,bibliothek@szb.ch,071/223.36.36
Schweizerisches Institut für Klein- und Mittelunternehmen KMU-HSG / Bibliothek,Dufourstrasse 40a,St. Gallen,9000,kmu-hsg@unisg.ch,071 2447100
Pfarreiarchiv St. Pankraz Bollingen,Sekretariat der Katholischen Kirche in Rapperswil-Jona / Friedhofstrasse 3,Jona,8645,sekretariat@krj.ch,055 2257800
Stadtarchiv der Ortbürgergemeinde St. Gallen,Notkerstrasse 22,St. Gallen,9000,stadtarchiv@stadt.sg.ch,(071) 244-08-17
Stadtarchiv der Politischen Gemeinde St. Gallen,Notkerstrasse 22,St. Gallen,9000,stadtarchiv@stadt.sg.ch,071 224 62 23
Stadtbibliothek Gossau,Säntisstrasse 4a,Gossau,9200,info@bibliogossau.ch,(071) 385-82-16
Stadtbibliothek Rapperswil-Jona,Klaus-Gebert-Strasse 5,Rapperswil-Jona,8640,stadtbibliothek@rj.sg.ch,055-225-74-00
Stadtbibliothek St. Gallen,Katharinengasse 11,St. Gallen,9000,bibliothek@stadt.sg.ch,(058) 229-09-80
Städtli-Bibliothek Lichtensteig,Postgasse 7,Lichtensteig,9620,kekccl.ammann@bluewin.ch,071/9884392
Stiftsbibliothek St. Gallen,Erwerbung / Klosterhof 6 d,St. Gallen,9000,stibi@stibi.ch,071-227-34-17
Textilbibliothek St. Gallen,Vadianstrasse 2,St. Gallen,9000,bibliothek@textilmuseum.ch,071-228-00-14
Toggenburger Museum,Hauptgasse 1,Lichtensteig,9620,info@toggenburgermuseum.ch,071 9888181
"Universität St. Gallen / Hochschule für Wirtschafts-, Rechts- und Sozialwissenschaften (HSG) / Bibliothek",Dufourstrasse 50,St. Gallen,9000,bibliothek@unisg.ch,071-224-22-70
Universitätsarchiv St. Gallen (HSG),Dufourstrasse 50,St. Gallen,9000,uni.archiv@unisg.ch,071/2242659
ZEPRA Prävention und Gesundheitsförderung,Unterstrasse 22,St. Gallen,9001,zepra@sg.ch,058 229 87 60
CILAG AG,Hochstrasse 201,Schaffhausen,8200,info@cilag.ch,(052) 630-91-11
Didaktisches Zentrum der Pädagogischen Hochschule Schaffhausen,Ebnatstrasse 80,Schaffhausen,8200,dz@phsh.ch,043/3054949
Gemeindebibliothek Thayngen,Haus zur Bachbrücke,Thayngen,8240,bibliothek@thayngen.ch,052 6493638
Kantonsschule Schaffhausen / Bibliothek,Pestalozzistrasse 20,Schaffhausen,8200,bibliothek@kanti.sh.ch,052 6322418
Konzernarchiv der Georg Fischer AG,Amsler-Laffon-Strasse 9,Schaffhausen,8201,archives@georgfischer.com,052-631-22-11
Merck & Cie,Im Laternenacker 5,Schaffhausen,8200,info@merckgroup.com,052 6307272
Museum zu Allerheiligen,Klosterstrasse 16,Schaffhausen,8200,admin.allerheiligen@stsh.ch,(052) 633-07-77
Staatsarchiv Schaffhausen,Rathausbogen 4,Schaffhausen,8200,staatsarchiv@ktsh.ch,052/6327362
Stadtarchiv Stein am Rhein,Rathausplatz 1,Stein am Rhein,8260,stadtarchiv@steinamrhein.ch,052 742 20 40
Stadtbibliothek Schaffhausen,Münsterplatz 1,Schaffhausen,8200,bibliothek@stsh.ch,052/632.50.20
Albert Steffen-Stiftung,Unterer Zielweg 36,Dornach 2,4143,steffen_stiftung@bluewin.ch,061/701.39.11
Bally Schuhmuseum,Haus zum Felsgarten / Oltenerstrasse 6,Schönenwerd,5012,hkiefer@bally.ch,091/6129111
Benediktinerkloster Mariastein / Klosterarchiv - Klosterbibliothek - Musiksammlung,Klosterplatz 2,Mariastein,4115,info@kloster-mariastein.ch,061/7351111
"Berufs-, Studien- und Laufbahnberatung / Regionalstelle Breitenbach mit Beratungs- und Informationszentrum BIZ",Grienackerweg 14,Breitenbach,4226,bizbreitenbach@dbk.so.ch,061-704-71-71
Bibliomedia Schweiz,Rosenweg 2,Solothurn,4500,solothurn@bibliomedia.ch,032/624.90.20
Bibliothek soH,"Kantonsspital Olten, / Baslerstrasse 150",Olten,4600,bibliothek.soh@spital.so.ch,062/5207489
Fachhochschule Nordwestschweiz Bibliothek Olten,Von Roll-Strasse 10,Olten,4600,bibliothek.olten@fhnw.ch,062 9572050
Fachhochschule Nordwestschweiz Pädagogische Hochschule Bibliothek,Obere Sternengasse 7,Solothurn,4502,bibliothek.solothurn.ph@fhnw.ch,032 6286603
Historisches Museum Blumenstein,Blumensteinweg 12,Solothurn,4500,museumblumenstein@solothurn.ch,032-626-93-93
Jugendbibliothek Olten,Dornacherstrasse 1,Olten,4601,jugendbibliothek@olten.ch,(062) 206-13-60
Kantonsschule Olten Mediothek,Hardfeldstrasse 53,Olten,4600,mediothek@kantiolten.ch,062/3118459
Mediothek der Kantonsschule Solothurn,Herrenweg 18,Solothurn,4502,mediothek@ksso.ch,032-627-90-65
Museum Altes Zeughaus,Zeughausplatz 1,Solothurn,4500,info@museum-alteszeughaus.ch,032 6276070
Rudolf Steiner-Archiv,Haus Duldeck / Rüttiweg 15,Dornach,4143,archiv@rudolf-steiner.com,061/7068210
Stadtarchiv Grenchen,Lindenstrasse 21,Grenchen,2540,stadtarchiv@grenchen.ch,032/653.31.09
Stadtarchiv Olten,Werkhofstrasse 5,Olten,4601,stadtarchiv@olten.ch,062-212-12-92
Stadtarchiv Solothurn,Bielstrasse 39,Solothurn,4502,stadtarchiv@zbsolothurn.ch,056-470-03-37
Stadtbibliothek,Hauptstrasse 12,Olten,4600,stadtbibliothek@olten.ch,062/212.89.55
Zentralbibliothek Solothurn,Bielstr. 39,Solothurn,4502,info@zbsolothurn.ch,032 6276262
Archiv Evangelisch-reformierte Kirchgemeinde Brunnen-Schwyz,Sekretariat / Alte Kantonsstrasse 8a,Brunnen,6440,sekretariat@ref-brunnen-schwyz.ch,041 820 31 48
Archiv ev.-ref. Kirchgemeinde Einsiedeln,Spitalstrasse 9,Einsiedeln,8840,sekretariat@ref-einsiedeln.ch,055 4220356
Archiv Institut Ingenbohl / Barmherzige Schwestern vom hl. Kreuz,Klosterstrasse 10,Brunnen,6440,agnesmaria@kloster-ingenbohl.ch,041/8252144
Archiv Missionsgesellschaft Bethlehem,"Schützenstrasse 9, / c/o Staatsarchiv Kanton Luzern",Luzern,6003,Elisabeth.vetter@lu.ch,(041) 228-53-82
Gemeinde Freienbach/ Gemeindearchiv,Unterdorfstrasse 9,Pfäffikon SZ,8808,andrea.fehr@freienbach.ch,055 416 92 43
Kantonsbibliothek,Rickenbachstrasse 24,Schwyz,6431,kantonsbibliothek@sz.ch,041-819-19-08
Katechetische Arbeitstelle Kanton Schwyz KAS,Lincolnweg 23,Einsiedeln,8840,kas@sz.kath.ch,055-422-06-55
"Pädagogische Hochschule Schwyz, Medienzentrum",Zaystrasse 42,Gossau,6410,medienzentrum@phsz.ch,041 8590585
Sprachheilschule Steinen,Weidlistrasse 1,Steinen,6422,info@shs-steinen.ch,041/4501315
Staatsarchiv des Kantons Schwyz,Kollegiumstrasse 30,Schwyz,6431,staatsarchiv@sz.ch,041/819.20.65
Stiftung Bibliothek Werner Oechslin,Luegetenstrasse 11,Einsiedeln,8840,info@bibliothek-oechslin.ch,055 418 90 40
Archiv Alterszentrum Bussnang,Viadukstrasse 9,Bussnang,9565,info@az-bussnang.ch,071/626.60.50
Archiv Bürgergemeinde Berg,Ottenbergstrasse 17,Berg,8572,braendli.berg@bluewin.ch,(071) 636-12-03
Archiv Bürgergemeinde Bürglen TG,Kontact: / Charles E. Stäheli / dipl. SHP und Archiv / Ringstrasse 9,Bürglen,8575,chestarch@gmx.ch,078-725-86-45
Archiv der Volksschulgemeinde Bischofsszell,Sandbänkli 5,Bischofszell,9220,info@schule-bischofszell.ch,071 4242850
Archiv Evangelische Kirchgemeinde Affeltrangen,Bahnhofstrasse 16,Affeltrangen,9556,pfarramt@evang-affeltrangen.ch,071/917.12.02
Archiv Evangelische Kirchgemeinde Langrickenbach-Birwinken,Mattwilerstrasse 11,Langrickenbach,8585,kfischer@bluewin.ch,071-695-19-03
Archiv evangelische Kirchgemeinde Roggwil TG,St. Gallerstrasse 55,Roggwil,9325,nicole.gmuender@evang-roggwil.ch,071/455.16.44
Archiv Evangelische Kirchgemeinde Scherzingen-Bottighofen,Sekretariat / Dorfstrasse 10,Scherzingen,8596,sekretariat@kircheamsee.ch,071 688 43 74
Archiv Evangelische Kirchengemeinde Schönholzerswilen,Mettlenstrasse 12,Schönholzerswilen,8577,willkommen@kirche-schoenholzerswilen.ch,071 633 13 08
Archiv Evangelische Kirchgemeinde Sulgen-Kradolf,Kirchstrasse 21,Sulgen,8583,sekretariat@evang-sulgen.ch,071/642.29.61
